,date,mag,st,loss,inj,fat,len,MD,Fatalities
0,1950-01-03,3.0,MO,6.0,3,0,9.5,LD,no
1,1950-01-03,3.0,MO,6.0,3,0,6.2,LD,no
2,1950-01-03,3.0,IL,5.0,0,0,3.3,LD,no
3,1950-01-03,3.0,IL,5.0,3,0,3.6,LD,no
4,1950-01-03,1.0,OH,4.0,1,0,0.1,LD,no
5,1950-01-13,3.0,AR,3.0,1,1,0.6,LD,no
6,1950-01-25,2.0,MO,5.0,5,0,2.3,LD,no
7,1950-01-25,2.0,IL,5.0,0,0,0.1,LD,no
8,1950-01-26,2.0,TX,0.0,2,0,4.7,LD,no
9,1950-02-11,2.0,TX,4.0,0,0,9.9,LD,no
10,1950-02-11,3.0,TX,4.0,12,1,12.0,LD,no
11,1950-02-11,2.0,TX,5.0,5,0,4.6,LD,no
12,1950-02-11,2.0,TX,5.0,6,0,4.5,LD,no
13,1950-02-12,2.0,TX,4.0,8,1,8.0,LD,no
14,1950-02-12,1.0,TX,4.0,0,0,2.3,LD,no
15,1950-02-12,2.0,TX,4.0,0,0,3.4,LD,no
16,1950-02-12,1.0,TX,5.0,32,0,7.7,LD,no
17,1950-02-12,2.0,MS,4.0,2,3,0.1,LD,no
18,1950-02-12,1.0,MS,0.0,0,0,2.0,LD,no
19,1950-02-12,3.0,TX,5.0,15,3,1.9,LD,no
20,1950-02-12,2.0,AR,3.0,0,0,0.1,LD,no
21,1950-02-12,4.0,LA,5.0,77,18,82.6,LD,no
22,1950-02-12,2.0,LA,5.0,10,5,58.4,LD,no
23,1950-02-12,3.0,LA,5.0,25,5,74.5,LD,no
24,1950-02-12,2.0,LA,0.0,0,0,0.0,LD,no
25,1950-02-12,2.0,AR,4.0,0,0,5.7,LD,no
26,1950-02-12,1.0,LA,4.0,0,0,0.5,LD,no
27,1950-02-13,1.0,TN,3.0,8,0,0.2,LD,no
28,1950-02-13,2.0,TN,4.0,1,9,0.2,LD,no
29,1950-02-27,2.0,OK,4.0,0,0,2.0,LD,no
30,1950-03-01,1.0,MS,0.0,0,0,0.1,LD,no
31,1950-03-16,2.0,FL,3.0,0,0,1.5,LD,no
32,1950-03-19,1.0,LA,4.0,2,0,2.0,LD,no
33,1950-03-19,2.0,LA,4.0,0,0,1.0,LD,no
35,1950-03-26,2.0,AR,4.0,3,0,17.4,LD,no
36,1950-03-26,3.0,AR,5.0,1,0,5.7,LD,no
37,1950-03-26,2.0,AR,5.0,7,0,10.4,LD,no
38,1950-03-26,3.0,AR,5.0,20,0,14.9,LD,no
39,1950-03-26,2.0,AR,0.0,2,0,5.4,LD,no
40,1950-03-27,2.0,OK,3.0,0,0,0.1,LD,no
41,1950-03-27,2.0,MS,0.0,2,1,0.1,LD,no
42,1950-03-27,1.0,LA,4.0,2,0,15.3,LD,no
43,1950-03-27,2.0,MS,0.0,0,0,11.9,LD,no
44,1950-03-27,2.0,MS,0.0,0,0,0.0,LD,no
45,1950-03-27,2.0,MS,5.0,7,0,59.3,LD,no
46,1950-03-27,2.0,MS,0.0,0,0,0.0,LD,no
47,1950-03-27,2.0,MS,5.0,6,0,31.9,LD,no
48,1950-03-27,1.0,LA,4.0,0,0,0.5,LD,no
49,1950-03-27,2.0,MS,0.0,0,0,4.7,LD,no
50,1950-03-27,1.0,MS,4.0,2,0,0.1,LD,no
51,1950-03-27,1.0,TN,3.0,0,0,0.2,LD,no
52,1950-03-27,2.0,IL,3.0,0,0,3.0,LD,no
53,1950-04-02,3.0,AR,3.0,8,1,2.5,LD,no
54,1950-04-02,2.0,OK,4.0,0,0,1.0,LD,no
55,1950-04-02,1.0,AR,3.0,0,0,0.8,LD,no
56,1950-04-03,1.0,OK,3.0,0,0,1.0,LD,no
57,1950-04-18,3.0,AL,4.0,15,0,14.0,LD,no
58,1950-04-18,2.0,AL,3.0,0,0,2.0,LD,no
59,1950-04-24,1.0,LA,4.0,0,0,2.0,LD,no
60,1950-04-27,1.0,SC,4.0,0,0,0.7,LD,no
61,1950-04-28,3.0,OK,5.0,1,1,20.8,LD,no
62,1950-04-28,1.0,KS,4.0,0,0,19.8,LD,no
63,1950-04-28,4.0,TX,5.0,5,5,1.3,LD,no
64,1950-04-28,4.0,OK,5.0,32,5,4.5,LD,no
65,1950-04-28,2.0,OK,4.0,0,0,0.8,LD,no
66,1950-04-29,2.0,MS,5.0,0,0,11.3,LD,no
67,1950-04-29,1.0,TX,4.0,0,0,11.5,LD,no
68,1950-05-01,1.0,LA,5.0,0,0,2.0,LD,no
69,1950-05-01,1.0,MS,4.0,0,0,0.1,LD,no
70,1950-05-01,1.0,MS,4.0,0,0,0.1,LD,no
71,1950-05-01,1.0,LA,5.0,0,0,15.4,LD,no
72,1950-05-01,2.0,LA,5.0,7,0,3.6,LD,no
73,1950-05-01,1.0,LA,4.0,2,0,1.0,LD,no
75,1950-05-02,1.0,LA,5.0,1,0,32.8,LD,no
76,1950-05-02,2.0,LA,5.0,5,1,2.0,LD,no
77,1950-05-04,1.0,KS,4.0,0,0,0.1,LD,no
78,1950-05-04,2.0,TX,5.0,13,1,1.9,LD,no
79,1950-05-04,1.0,IA,1.0,0,0,0.1,LD,no
80,1950-05-04,2.0,OK,4.0,0,0,5.6,LD,no
81,1950-05-04,1.0,OK,3.0,0,0,0.1,LD,no
82,1950-05-04,2.0,OK,5.0,0,0,1.0,LD,no
83,1950-05-04,4.0,KS,5.0,1,0,34.3,LD,no
84,1950-05-05,3.0,KS,5.0,12,0,17.3,LD,no
85,1950-05-07,1.0,OK,0.0,0,0,0.1,LD,no
86,1950-05-07,2.0,OK,4.0,3,0,4.3,LD,no
87,1950-05-07,1.0,OK,3.0,0,0,0.1,LD,no
88,1950-05-08,1.0,SD,3.0,0,0,1.0,LD,no
89,1950-05-08,1.0,FL,3.0,0,0,0.3,LD,no
90,1950-05-08,2.0,KS,5.0,0,0,12.6,LD,no
91,1950-05-08,2.0,KS,4.0,1,0,6.8,LD,no
92,1950-05-08,2.0,IA,0.0,0,0,0.1,LD,no
93,1950-05-08,2.0,KS,4.0,2,0,19.6,LD,no
94,1950-05-08,1.0,KS,4.0,1,0,0.1,LD,no
95,1950-05-08,1.0,KS,0.0,0,0,0.1,LD,no
96,1950-05-08,2.0,NE,4.0,1,0,8.8,LD,no
97,1950-05-09,1.0,KS,4.0,0,0,0.1,LD,no
98,1950-05-09,1.0,OK,4.0,0,0,0.8,LD,no
99,1950-05-10,2.0,WY,1.0,0,0,2.0,LD,no
100,1950-05-11,1.0,OK,2.0,0,0,0.5,LD,no
101,1950-05-12,1.0,NC,4.0,0,0,2.0,LD,no
102,1950-05-12,1.0,NC,0.0,0,0,1.0,LD,no
104,1950-05-13,1.0,LA,4.0,0,0,2.0,LD,no
105,1950-05-14,1.0,TX,3.0,0,0,1.0,LD,no
106,1950-05-14,1.0,NC,3.0,0,0,3.8,LD,no
107,1950-05-14,2.0,NC,0.0,5,0,2.0,LD,no
108,1950-05-15,2.0,TX,4.0,0,0,18.0,LD,no
109,1950-05-15,1.0,FL,4.0,0,0,0.1,LD,no
110,1950-05-15,2.0,FL,4.0,0,0,0.1,LD,no
111,1950-05-16,2.0,KS,3.0,0,0,0.2,LD,no
112,1950-05-16,1.0,OK,3.0,1,0,7.3,LD,no
113,1950-05-18,1.0,NE,4.0,0,0,0.7,LD,no
114,1950-05-18,3.0,KS,5.0,2,0,14.9,LD,no
117,1950-05-22,1.0,OK,0.0,0,0,1.5,LD,no
119,1950-05-24,2.0,KS,3.0,1,0,3.6,LD,no
120,1950-05-24,1.0,KS,4.0,0,0,10.7,LD,no
121,1950-05-24,2.0,OK,4.0,2,0,1.0,LD,no
122,1950-05-25,1.0,TX,3.0,0,0,3.0,LD,no
123,1950-05-29,1.0,OK,2.0,0,0,1.0,LD,no
124,1950-05-29,1.0,TX,0.0,0,0,3.4,LD,no
125,1950-05-29,1.0,LA,4.0,13,0,1.0,LD,no
126,1950-05-29,1.0,LA,4.0,0,0,1.0,LD,no
127,1950-05-30,1.0,GA,3.0,0,0,0.5,LD,no
128,1950-05-31,1.0,NC,3.0,0,0,0.1,LD,no
129,1950-06-03,3.0,MS,0.0,1,2,2.0,LD,no
131,1950-06-04,1.0,GA,4.0,1,0,3.3,LD,no
132,1950-06-05,3.0,TX,5.0,6,0,23.9,LD,no
133,1950-06-05,1.0,TX,6.0,2,0,23.7,LD,no
134,1950-06-07,1.0,WY,1.0,0,0,0.2,LD,no
135,1950-06-07,1.0,GA,3.0,0,0,2.0,LD,no
136,1950-06-08,4.0,KS,5.0,5,1,17.1,LD,no
137,1950-06-09,1.0,MO,3.0,0,0,2.7,LD,no
138,1950-06-09,1.0,OK,3.0,0,0,0.1,LD,no
139,1950-06-13,1.0,IL,4.0,0,0,0.1,LD,no
140,1950-06-13,3.0,ND,5.0,0,0,2.0,LD,no
141,1950-06-13,2.0,NE,4.0,101,0,4.1,LD,yes
142,1950-06-14,1.0,WY,1.0,0,0,0.2,LD,no
143,1950-06-14,3.0,ND,4.0,0,0,23.7,LD,no
144,1950-06-15,1.0,MO,3.0,0,0,0.2,LD,no
145,1950-06-15,2.0,MN,3.0,4,0,4.6,LD,no
146,1950-06-15,3.0,IA,0.0,5,0,5.6,LD,no
147,1950-06-16,1.0,KS,4.0,0,0,29.9,LD,no
151,1950-06-25,1.0,WI,4.0,0,0,0.5,LD,no
152,1950-06-25,2.0,WI,5.0,0,0,8.4,LD,no
153,1950-06-25,2.0,WI,4.0,0,1,7.8,LD,no
154,1950-06-25,4.0,WI,5.0,12,2,13.1,LD,no
156,1950-06-25,3.0,WI,5.0,0,0,0.1,LD,no
157,1950-07-01,2.0,KS,4.0,0,0,0.1,LD,no
158,1950-07-01,1.0,KS,4.0,1,0,0.1,LD,no
159,1950-07-01,2.0,IA,0.0,0,0,14.0,LD,no
160,1950-07-02,2.0,KS,6.0,0,0,1.0,LD,no
162,1950-07-05,2.0,PA,4.0,2,0,12.9,LD,no
163,1950-07-05,2.0,PA,3.0,0,0,0.1,LD,no
164,1950-07-08,1.0,KS,4.0,0,0,1.0,LD,no
165,1950-07-11,1.0,NM,2.0,0,0,3.8,LD,no
166,1950-07-12,2.0,CT,3.0,0,0,10.0,LD,no
167,1950-07-14,2.0,CT,5.0,3,0,5.0,LD,no
168,1950-07-15,4.0,NE,6.0,33,0,10.0,LD,no
169,1950-07-16,1.0,IL,4.0,0,0,1.0,LD,no
170,1950-07-18,1.0,KS,0.0,0,0,0.1,LD,no
171,1950-07-19,1.0,IN,4.0,0,0,4.3,LD,no
172,1950-07-19,2.0,OH,0.0,0,0,0.1,LD,no
173,1950-07-19,3.0,OH,6.0,30,0,9.7,LD,no
174,1950-07-19,1.0,MO,2.0,0,0,1.5,LD,no
175,1950-07-19,2.0,IN,0.0,0,0,1.1,LD,no
178,1950-07-26,1.0,NC,0.0,0,0,0.1,LD,no
179,1950-07-27,1.0,NC,3.0,0,0,0.1,LD,no
180,1950-08-02,1.0,NM,4.0,0,0,7.9,LD,no
181,1950-08-05,2.0,CO,4.0,1,0,0.1,LD,no
182,1950-08-06,1.0,KS,4.0,0,0,0.1,LD,no
183,1950-08-06,2.0,KS,3.0,0,0,0.1,LD,no
184,1950-08-06,2.0,KS,5.0,0,0,8.7,LD,no
185,1950-08-08,1.0,MO,2.0,0,0,2.0,LD,no
186,1950-08-09,1.0,WV,0.0,0,0,5.0,LD,no
187,1950-08-11,1.0,MD,3.0,0,0,6.0,LD,no
188,1950-08-24,2.0,AR,4.0,7,0,3.6,LD,no
189,1950-08-28,1.0,KS,0.0,0,0,7.2,LD,no
190,1950-08-29,1.0,PA,3.0,0,0,1.0,LD,no
191,1950-08-30,1.0,FL,4.0,0,0,0.5,LD,no
193,1950-09-15,2.0,OK,5.0,6,0,6.8,LD,no
195,1950-09-21,1.0,NE,3.0,0,0,22.5,LD,no
196,1950-10-01,1.0,OK,4.0,0,0,15.8,LD,no
197,1950-10-09,3.0,NC,5.0,3,0,2.0,LD,no
198,1950-11-04,3.0,PA,5.0,1,0,15.9,LD,no
199,1950-11-20,2.0,KY,5.0,0,0,0.1,LD,no
200,1950-11-20,1.0,KY,5.0,0,0,0.1,LD,no
201,1950-11-20,1.0,MS,4.0,3,0,2.0,LD,no
202,1950-12-02,2.0,IL,4.0,3,1,18.8,LD,no
203,1950-12-02,3.0,IL,6.0,25,2,18.0,LD,no
204,1950-12-02,3.0,AR,1.0,0,0,7.8,LD,no
205,1950-12-02,1.0,IL,4.0,0,0,9.6,LD,no
206,1951-01-06,3.0,LA,5.0,11,0,16.8,LD,no
207,1951-01-11,2.0,CA,6.0,0,0,5.7,LD,no
208,1951-02-01,1.0,VA,3.0,0,0,0.1,LD,no
209,1951-02-06,1.0,LA,4.0,0,0,0.5,LD,no
210,1951-02-06,1.0,LA,4.0,0,0,4.9,LD,no
211,1951-02-19,2.0,OK,4.0,5,0,43.9,LD,no
213,1951-02-20,2.0,AR,0.0,0,0,0.0,LD,no
214,1951-02-20,2.0,AR,4.0,3,0,112.8,LD,no
215,1951-02-20,3.0,MS,3.0,1,1,0.1,LD,no
216,1951-02-20,1.0,MS,3.0,0,0,0.1,LD,no
217,1951-02-20,2.0,AL,4.0,2,0,0.1,LD,no
218,1951-02-20,2.0,KY,4.0,0,0,0.1,LD,no
219,1951-03-02,3.0,KS,4.0,0,0,38.1,LD,no
221,1951-03-12,2.0,FL,4.0,0,0,2.0,LD,no
222,1951-03-28,1.0,TX,3.0,0,0,0.5,LD,no
223,1951-03-29,2.0,IN,5.0,2,0,3.0,LD,no
